الجذر,الحرف الأول للجذر,الحرف الثاني للجذر,الحرف الثالث للجذر,أفعل,فعّل,فاعل,انفعل,افتعل,افعلّ,تفاعل,تفعّل,استفعل,افعوعل,افعوّل,افعالّ
سمغ,س,م,غ,,م,,,,,,,,,,
سمك,س,م,ك,,م,,ل,ل,,,ل,م,,,
سمل,س,م,ل,ل,ك,,,م,,,ك,,,,
سمم,س,م,م,ل,م,,,,,,ل,,,,
سمن,س,م,ن,ك,ك,,,,,,ل,ك,,,
سمه,س,م,ه,,م,,,,,,,,,,
سمو,س,م,و,ك,ك,م,,ك,,ل,ل,ك,,,
سنت,س,ن,ت,ل,م,م,,,,,ك,,,,
سنج,س,ن,ج,,م,,,,,,,,,,
سنح,س,ن,ح,,,ك,,,,,ك,م,,,
سنخ,س,ن,خ,,ل,,,,,,,,,,
سند,س,ن,د,ك,ك,ك,,ل,,ل,ل,,,,
سنع,س,ن,ع,ك,,,,,,,,,,,
سنف,س,ن,ف,ك,,,,,,,,,,,
سنق,س,ن,ق,م,,,,,,,,,,,
سنم,س,ن,م,ك,ك,,,م,,,ك,,,,
سنن,س,ن,ن,ك,ك,م,,ك,,ل,ل,ك,,,
سنه,س,ن,ه,,,ك,,,,,ل,,,,
سنو,س,ن,و,ك,م,م,,ك,,,ك,,,,
سني,س,ن,ي,,,م,,,,,ل,,,,
سهب,س,ه,ب,ك,,,,ل,,,,,,,
سهد,س,ه,د,ك,م,,,,,,ل,,,,
سهر,س,ه,ر,م,,م,,,,,,,,,
سهف,س,ه,ف,,,,,م,,,,,,,
سهل,س,ه,ل,ك,م,م,,م,,ل,ل,ك,,,
سهم,س,ه,م,ك,م,ك,,ل,,ك,,,,,
سهو,س,ه,و,ك,م,م,,,,,,,,,
سوأ,س,و,أ,ك,م,,,ل,,,,,,,
سوج,س,و,ج,,ك,,,,,,,,,,
سوخ,س,و,خ,ك,,,,,,,ل,,,,
سود,س,و,د,ل,ك,م,,ك,ل,,ل,,,,ل
سور,س,و,ر,,م,م,,,,ل,ك,,,,
سوس,س,و,س,ك,ك,,,ل,,,ل,,,,
سوط,س,و,ط,,ك,م,,ل,,,,,,,
سوع,س,و,ع,ك,,م,,,,,,,,,
سوغ,س,و,غ,ك,م,,,,,,,م,,,
سوف,س,و,ف,ك,ك,م,,م,,,,,,,
سوق,س,و,ق,م,ك,م,ل,م,,ل,ك,م,,,
سوك,س,و,ك,ل,م,,,ل,,ل,ل,,,,
سول,س,و,ل,,ك,,,,,,ل,,,,
سوم,س,و,م,ك,ك,ك,,ك,,ك,ل,,,,
سوو,س,و,و,ك,ك,ك,,ل,,ل,ل,,,,
سيأ,س,ي,أ,,ك,,,,,,ل,,,,
سيب,س,ي,ب,ل,م,,ل,,,,ل,,,,
سيج,س,ي,ج,,ك,,,,,,,,,,
سيح,س,ي,ح,ك,ك,,ل,,,,,,,,
سيخ,س,ي,خ,ك,,,,,,,,,,,
سير,س,ي,ر,م,م,م,,ك,,ل,ل,,,,
سيع,س,ي,ع,م,م,,ل,,,,ل,,,,
سيغ,س,ي,غ,م,,,,,,,,,,,
سيف,س,ي,ف,ك,م,ك,ل,ل,,ل,م,,,,
سيل,س,ي,ل,م,م,,,,,ل,,,,,
شأز,ش,أ,ز,ك,,,,ل,,,,,,,
شأف,ش,أ,ف,,,,,,,,,ل,,,
شأم,ش,أ,م,ك,م,ك,,,,ل,ل,ل,,,
شأن,ش,أ,ن,م,,,,م,,,,,,,
شأو,ش,أ,و,,,م,,ل,,ل,,,,,
شبب,ش,ب,ب,ك,ك,,,,,,ل,ل,,,
شبث,ش,ب,ث,,,م,,,,,ل,,,,
شبج,ش,ب,ج,م,,,,,,,,,,,
شبح,ش,ب,ح,,ك,,ل,,,,ل,,,,
شبر,ش,ب,ر,ك,ك,,,,,ل,ل,,,,
شبص,ش,ب,ص,,,,,,,,ل,,,,
شبع,ش,ب,ع,ك,ل,,,,,,ل,,,,
شبك,ش,ب,ك,ل,م,ل,,ل,,ل,ل,,,,
شبل,ش,ب,ل,ل,,,,,,,,,,,
شبم,ش,ب,م,,م,,,,,,,,,,
شبه,ش,ب,ه,م,ك,م,,ل,,ل,ل,,,,
شبو,ش,ب,و,ك,,,,,,,,,,,
شتت,ش,ت,ت,ك,م,,ل,,,,ل,ل,,,
شتر,ش,ت,ر,م,ك,,ل,,,,,,,,
شتغ,ش,ت,غ,م,,,,,,,,,,,
شتل,ش,ت,ل,,م,,,,,,,,,,
شتم,ش,ت,م,,,م,,,,ل,ل,,,,
شتو,ش,ت,و,ل,ك,م,,,,,ك,,,,
شجب,ش,ج,ب,م,,,,,,ل,ل,,,,
شجج,ش,ج,ج,,ك,م,,,,,,,,,
شجذ,ش,ج,ذ,ك,,,,,,,,,,,
شجر,ش,ج,ر,ل,ك,ك,ل,ل,,ل,,,,,
شجع,ش,ج,ع,,م,م,,,,,ل,,,,
شجن,ش,ج,ن,ك,م,,,,,,ل,,,,
شجو,ش,ج,و,ك,,,,,,ل,,,,,
شحج,ش,ح,ج,,,,,,,,ل,ك,,,
شحح,ش,ح,ح,,,ك,,,,ل,,,,,
شحذ,ش,ح,ذ,م,,ك,,,,,ك,,,,
شحص,ش,ح,ص,ك,ك,,,,,,,,,,
شحط,ش,ح,ط,م,ك,,,,,,ل,,,,
شحم,ش,ح,م,ك,م,,,,,,,,,,
شحن,ش,ح,ن,ك,,م,,,,ل,,,,,
شحو,ش,ح,و,ك,ك,,,,,,ل,,,,
شخب,ش,خ,ب,,,,ل,,,,,,,,
شخت,ش,خ,ت,,م,,,,,,,,,,
شخذ,ش,خ,ذ,م,,,,,,,,,,,
شخر,ش,خ,ر,,م,,,,,,,,,,
شخز,ش,خ,ز,,,,,,,ل,,,,,
شخس,ش,خ,س,ك,,ك,,,,ل,,,,,
شخص,ش,خ,ص,ك,م,,,,,,ل,,,,
شخل,ش,خ,ل,,,م,,,,,,,,,
شخم,ش,خ,م,ك,ك,,,,ل,,,,,,ل
شخن,ش,خ,ن,ل,ل,,,,,,,,,,
شدح,ش,د,ح,,,,ل,,,,,,,,
شدخ,ش,د,خ,,م,,ل,,,,ل,,,,
شدد,ش,د,د,ل,ك,ك,,ل,,ل,ل,,,,
شدف,ش,د,ف,ل,,,,,,ل,,,,,
شدق,ش,د,ق,,,,,,,,ل,,,,
شدن,ش,د,ن,ل,,,,,,,,,,,
شده,ش,د,ه,م,,,ل,ل,,,,,,,
شدو,ش,د,و,ل,,,,,,,,,,,
شذب,ش,ذ,ب,,م,,,,,,ل,,,,
شذذ,ش,ذ,ذ,ك,م,,,,,,,,,,
شذر,ش,ذ,ر,,ك,,,,,,ك,,,,
شذو,ش,ذ,و,ك,ل,,,,,,,,,,
شرب,ش,ر,ب,ك,ك,م,,,,,ك,ل,,,
شرث,ش,ر,ث,,,,ل,,,,,,,,
شرج,ش,ر,ج,م,م,م,ل,,,ل,ل,,,,
شرح,ش,ر,ح,,م,,ل,,,,,,,,
شرد,ش,ر,د,م,ك,,,,,,ل,,,,
شرر,ش,ر,ر,م,م,م,,,,ل,,ل,,,
شرز,ش,ر,ز,ك,م,ك,,,,,,,,,
شرس,ش,ر,س,ل,,م,,,,ل,,,,,
شرط,ش,ر,ط,ك,م,م,,ك,,ل,ل,ل,,,
شرع,ش,ر,ع,ك,ك,,,م,,,,,,,
شرف,ش,ر,ف,ك,م,م,,ل,,,ك,ك,,,
شرق,ش,ر,ق,ك,ك,,ل,,,,ل,ل,ل,,
شرك,ش,ر,ك,ك,ك,ك,,ل,,ل,,,,,
شرم,ش,ر,م,,م,,ل,,,,ل,,,,
شري,ش,ر,ي,ك,م,ك,,ك,,ل,ل,ل,ل,,
شزب,ش,ز,ب,,م,,,,,ل,,,,,
شزر,ش,ز,ر,م,ل,م,,,,ل,ل,ك,,,
شزن,ش,ز,ن,,م,,,,,,ك,,,,
شسع,ش,س,ع,م,م,,,,,,,,,,
شسف,ش,س,ف,,م,,,,,,,,,,
شصب,ش,ص,ب,م,,,,,,,,,,,
شصر,ش,ص,ر,,م,,,,,,,,,,
شصص,ش,ص,ص,ك,م,,,,,,,,,,
شصو,ش,ص,و,م,,,,,,,,,,,
شطأ,ش,ط,أ,ل,ل,م,,,,,,,,,
شطب,ش,ط,ب,,م,,ل,,,,,,,,
شطر,ش,ط,ر,,ك,م,,,,,ل,,,,
شطط,ش,ط,ط,ك,ل,م,,ل,,,,,,,
شطن,ش,ط,ن,م,,,,,,,,,,,
شطي,ش,ط,ي,,م,,ل,,,,,,,,
شظظ,ش,ظ,ظ,ك,م,,,,,,,,,,
شظي,ش,ظ,ي,م,ك,,ل,,,,ل,,,,
شعب,ش,ع,ب,ك,ك,ك,ل,,,,ل,,,,
شعث,ش,ع,ث,,ك,,ل,,,,ك,,,,
شعر,ش,ع,ر,ك,ك,م,,,,ل,ل,ك,,,
شعع,ش,ع,ع,ك,,,ل,,,,,,,,
شعل,ش,ع,ل,ك,م,,,ل,ل,,ل,,,,ل
شعن,ش,ع,ن,ل,,,,,ل,,,,,,ل
شعو,ش,ع,و,ك,,,,,,,,,,,
شغب,ش,غ,ب,,,م,,,,ل,ل,,,,
شغر,ش,غ,ر,ك,,م,,ل,,ل,ل,,,,
شغف,ش,غ,ف,,,,,,,,ك,,,,
شغل,ش,غ,ل,م,م,,ل,ل,,ل,ل,,,,
شغو,ش,غ,و,ك,ك,,,,,,,,,,
شفر,ش,ف,ر,ل,ك,,,,,,,,,,
شفع,ش,ف,ع,,ك,,,,,,ل,ك,,,
شفف,ش,ف,ف,ك,ك,,,م,,م,,ك,,,
شفق,ش,ف,ق,ك,م,,,,,,,,,,
شفه,ش,ف,ه,,,م,,,,,,,,,
شفي,ش,ف,ي,ك,ك,م,,ل,,,ل,ل,,,
شقح,ش,ق,ح,ك,ل,م,,,,ل,,,,,
شقذ,ش,ق,ذ,م,,م,,,,,,,,,
شقر,ش,ق,ر,,,,,,ل,,,,,,
شقص,ش,ق,ص,,م,,,,,,,,,,
شقق,ش,ق,ق,,م,م,ل,ك,,ل,ل,ل,,,
شقل,ش,ق,ل,,,,,,,ل,,,,,
شقن,ش,ق,ن,ك,,,,,,,,,,,
شقو,ش,ق,و,م,,م,,,,,,,,,
شكأ,ش,ك,أ,ل,,,,,,,,,,,
شكد,ش,ك,د,ك,ل,,,,,,,ل,,,
شكر,ش,ك,ر,ل,,م,,ل,,,ل,,,,
شكس,ش,ك,س,,,م,,,,ل,,,,,
شكع,ش,ك,ع,م,,,,,,,,,,,
شكك,ش,ك,ك,,م,,,ك,,,ل,,,,
شكل,ش,ك,ل,ك,ك,م,,ل,,ل,ل,ل,,,
شكم,ش,ك,م,م,,,,,,,,,,,
شكه,ش,ك,ه,ل,,م,,,,ل,,,,,
شكو,ش,ك,و,ك,ك,م,,ك,,ل,ك,,,,
شلح,ش,ل,ح,,م,,,,,,,,,,
شلق,ش,ل,ق,,,,,ل,,,ل,,,,
شلل,ش,ل,ل,ك,,,ل,,,,,,,,
شلو,ش,ل,و,م,,,,ك,,,,ك,,,
شمت,ش,م,ت,م,ك,,,ل,,,ل,,,,
شمج,ش,م,ج,,م,,,,,,,,,,
شمخ,ش,م,خ,,ك,,,,,ل,,,,,
شمذ,ش,م,ذ,,,,,ل,,,,,,,
شمر,ش,م,ر,م,ك,,ل,,,,ل,,,,
شمز,ش,م,ز,,,,,,,,ل,,,,
شمس,ش,م,س,ل,ك,م,,,,ل,ل,,,,
شمص,ش,م,ص,ل,م,,ل,,,,ل,,,,
شمط,ش,م,ط,ك,م,,,,ل,,,,,,ل
شمع,ش,م,ع,ل,ك,,,,,,,,,,
شمق,ش,م,ق,,,,,,,,ل,,,,
شمل,ش,م,ل,ك,ك,,ل,ك,,,ل,,,,
شمم,ش,م,م,ك,م,ك,,م,,ل,م,م,,,
شنأ,ش,ن,أ,,,,,,,ل,,,,,
شنج,ش,ن,ج,ل,م,,ل,,,,ل,,,,
شنخ,ش,ن,خ,,م,,,,,,,,,,
شنر,ش,ن,ر,,ل,,,,,,,,,,
شنع,ش,ن,ع,ل,ك,,,,,,ك,ك,,,
شنف,ش,ن,ف,م,م,,,,,,ل,,,,
شنق,ش,ن,ق,ك,ك,م,,,,ل,,,,,
شنن,ش,ن,ن,ك,ل,,,ل,,ل,ل,ل,,,
شهب,ش,ه,ب,ك,م,,,ل,ل,,,,,,ل
شهد,ش,ه,د,ك,ل,م,,,,,ل,ك,,,
شهر,ش,ه,ر,ك,ك,م,,ك,,ك,,,,,
شهل,ش,ه,ل,,,م,,,ل,,ل,,,,
شهو,ش,ه,و,م,م,م,,م,,,م,,,,
شوب,ش,و,ب,,ل,,ل,ل,,,,,,,
شوح,ش,و,ح,,ك,,,,,,,,,,
شود,ش,و,د,,ل,,,,,,ل,,,,
شوذ,ش,و,ذ,,ك,,,ل,,,ل,,,,
شور,ش,و,ر,ك,ك,م,,ك,,ل,ل,ك,,,
شوس,ش,و,س,,,ل,,,,ل,,,,,
شوش,ش,و,ش,ل,ك,,,,,ل,ل,,,,
شوص,ش,و,ص,ك,ك,,,,,,ل,,,,
شوط,ش,و,ط,,ك,,,,,,م,,,,
شوع,ش,و,ع,م,م,,,,,,,,,,
شوف,ش,و,ف,ل,م,,,ك,,,ك,ل,,,
شوق,ش,و,ق,م,م,,,ك,,,ل,,,,
شوك,ش,و,ك,ك,ك,,,,,,,,,,
شول,ش,و,ل,ك,ل,ك,ل,ل,,ل,,ل,,,
شون,ش,و,ن,,م,,,,,,ل,,,,
شوه,ش,و,ه,,ك,,,,,,ك,,,,
شوي,ش,و,ي,ك,م,,ل,ك,,,,,,,
شيأ,ش,ي,أ,م,م,,,,,,ل,,,,
شيب,ش,ي,ب,ك,ك,,,,,,,,,,
شيح,ش,ي,ح,ك,ك,ل,,,,,,,,,
شيخ,ش,ي,خ,,ك,,,,,,ل,,,,
شيد,ش,ي,د,ك,م,,,,,,ل,,,,
شير,ش,ي,ر,,,,,,,م,,,,,
شيز,ش,ي,ز,,م,,,,,,,,,,
شيص,ش,ي,ص,ل,ك,ك,,,,,,,,,
شيط,ش,ي,ط,ك,ك,,,ل,,,ل,ل,,,
شيظ,ش,ي,ظ,,,,,,,ل,,,,,
شيع,ش,ي,ع,ك,ك,ك,,ل,,ل,ك,,,,
شيف,ش,ي,ف,,م,,,,,,,,,,
شيم,ش,ي,م,ك,ك,,ل,ل,,,ك,,,,
شين,ش,ي,ن,,م,,,,,,,,,,
صأب,ص,أ,ب,ل,,,,,,,,,,,
صأك,ص,أ,ك,,,م,,,,,,,,,
صأي,ص,أ,ي,م,,,,,,ل,ل,,,,
صبأ,ص,ب,أ,ك,,,,,,,,,,,
صبب,ص,ب,ب,ل,,,ل,ك,,م,ك,,,,
صبح,ص,ب,ح,ك,م,,,ل,,ل,ل,ل,,,ل
صبر,ص,ب,ر,ك,ك,ك,,ل,,,ل,ل,,,ل
صبغ,ص,ب,غ,ك,ك,,,ل,,,ل,,,,
صبن,ص,ب,ن,,,,ل,ل,,,,,,,
صبو,ص,ب,و,ك,م,ك,,,,ك,ك,ك,,,
صتت,ص,ت,ت,,,م,,,,ل,,,,,
صتع,ص,ت,ع,,,,,,,,ل,,,,
صتم,ص,ت,م,,م,,,,,,ل,,,,
صته,ص,ت,ه,,م,,,,,,,,,,
صحب,ص,ح,ب,ك,,م,,ك,,ل,ل,م,,,
صحح,ص,ح,ح,ك,م,,,,,,ل,ك,,,
صحر,ص,ح,ر,ك,,م,,,ل,,,,,,ل
صحف,ص,ح,ف,م,ك,,,,,,ل,,,,
صحم,ص,ح,م,,,,,ل,,,,,,,ل
صحن,ص,ح,ن,,,,,,,,ك,,,,
صحو,ص,ح,و,ك,,,,,,,,,,,
صخب,ص,خ,ب,,,م,,ل,,ل,,,,,
صخخ,ص,خ,خ,م,,,,,,,,,,,
صخد,ص,خ,د,ل,,,,ل,,,,,,,
صخر,ص,خ,ر,ل,,,,,,,,,,,
صخم,ص,خ,م,,,,,ل,,,,,,,
صدأ,ص,د,أ,ك,م,,,,,,ل,,,,
صدد,ص,د,د,ك,ل,,,ل,,,ل,,,,
صدر,ص,د,ر,ك,ك,م,,,,,ل,م,,,
صدع,ص,د,ع,,م,,ل,ل,,,ل,,,,
صدغ,ص,د,غ,,,م,,,,,ل,,,,
صدف,ص,د,ف,م,,م,,,,ل,ل,,,,
صدق,ص,د,ق,م,ك,م,,,,ك,ل,,,,
صدم,ص,د,م,,,م,,ل,,ل,,,,,
صدي,ص,د,ي,ل,ل,م,,,,,ل,,,,
صرب,ص,ر,ب,ل,ل,,,م,,,,,,,ل
صرج,ص,ر,ج,,م,,,,,,,,,,
صرح,ص,ر,ح,م,ك,ك,ل,,,,ل,,,,
صرخ,ص,ر,خ,م,,,,ل,,ل,ل,ك,,,
صرد,ص,ر,د,ك,ك,,,,,,,,,,
صرر,ص,ر,ر,ك,ك,م,,ل,,,,,,,
صرع,ص,ر,ع,,م,م,,ل,,ل,ل,,,,
صرف,ص,ر,ف,م,م,م,ل,ل,,,ل,م,,,
صرم,ص,ر,م,ل,م,م,ل,م,,ل,ل,,,,
صري,ص,ر,ي,ك,م,,,,,,,,,,
صعب,ص,ع,ب,ك,م,م,,,,ل,ك,ك,,,
صعد,ص,ع,د,ك,ك,,,ك,,ك,ك,,,,
صعر,ص,ع,ر,ك,م,ك,,,ل,ل,ل,,,,
صعف,ص,ع,ف,ل,,,,,,,,,,,
صعق,ص,ع,ق,م,,,,,,,,,,,
صعل,ص,ع,ل,,,,,,,,,,,,ل
صعن,ص,ع,ن,ل,,,,,ل,,,,,,
صغر,ص,غ,ر,ك,م,,,,,ل,,ك,,,
صغو,ص,غ,و,ك,,,,,,,,,,,
صفت,ص,ف,ت,,,,,,,,ل,,,,
صفح,ص,ف,ح,م,ك,م,,,,ل,م,م,,,
صفد,ص,ف,د,م,م,,,,,,,,,,
صفر,ص,ف,ر,ك,ك,,,,ل,,ل,,,,ل
صفع,ص,ف,ع,,,ل,,,,ل,,,,,
صفغ,ص,ف,غ,م,,,,,,,,,,,
صفف,ص,ف,ف,م,م,م,,ل,,ل,,,,,
صفق,ص,ف,ق,ك,ك,ل,ل,ك,,ك,ك,,,,
صفل,ص,ف,ل,ل,,,,,,,,,,,
صفن,ص,ف,ن,,ك,م,,,,ك,,,,,
صفو,ص,ف,و,ك,م,م,,م,,ل,,م,,,
صقب,ص,ق,ب,ك,,م,,,,ل,,,,,
صقر,ص,ق,ر,ك,ك,,,ل,ل,,ل,,,,
صقع,ص,ق,ع,ك,ل,,,,,,,,,,
صقل,ص,ق,ل,,,م,,,,,,,,,
صكك,ص,ك,ك,,,,,ل,,,,,,,
صلب,ص,ل,ب,ل,ك,,,ل,,,ل,ل,,,
صلت,ص,ل,ت,م,,,ل,,,,,,,,
صلج,ص,ل,ج,,,,,,,ل,,,,,
صلح,ص,ل,ح,ك,,م,ل,ل,,ل,,ك,,,
صلخ,ص,ل,خ,,,,,,ل,ل,,,,,
صلد,ص,ل,د,ك,ل,,,,,,,,,,
صلع,ص,ل,ع,,ل,,ل,,,,ل,,,,
صلف,ص,ل,ف,ك,,,,,,,ل,,,,
صلق,ص,ل,ق,ل,,,,ل,,,ل,,,,
صلك,ص,ل,ك,,م,,,,,,,,,,
صلل,ص,ل,ل,ك,ل,,,,,,,,,,
صلم,ص,ل,م,,م,,,م,,,,,,,
صلو,ص,ل,و,ك,ك,,,,,,,,,,
صلي,ص,ل,ي,م,ك,,,ك,,,ك,,,,
صمأ,ص,م,أ,,,,ل,,,,,,,,
صمت,ص,م,ت,ك,ك,,,,,,,,,,
صمد,ص,م,د,م,م,م,,,,ل,ل,,,,
صمر,ص,م,ر,ك,ك,,,,,,ل,,,,
صمع,ص,م,ع,,ك,,ل,,,,ل,,,,
صمغ,ص,م,غ,ل,م,,,,,,,ك,,,
صمق,ص,م,ق,ك,,,,,,,,,,,
صمك,ص,م,ك,,,,,,,,,,,,ل
صمل,ص,م,ل,م,,,,,,,,,,,
صمم,ص,م,م,ك,ك,,ل,,,ك,,,,,
صمي,ص,م,ي,ك,,م,ل,,,,,,,,
صنج,ص,ن,ج,,ل,,,,,,,,,,
صنع,ص,ن,ع,ك,م,ك,,ك,,,ل,م,,,
صنف,ص,ن,ف,,ك,,,,,,ل,,,,
صنق,ص,ن,ق,ك,,,,,,,,,,,
صنم,ص,ن,م,,ك,,,,,,,,,,
صنن,ص,ن,ن,ل,,,,,,,,,,,
صنو,ص,ن,و,ل,,,,ل,,,ل,,,,
صهب,ص,ه,ب,ل,م,,,,ل,,,,,,ل
صهر,ص,ه,ر,ك,,ك,ل,ك,,ل,,,,,ل
صهل,ص,ه,ل,,,,,,,ل,,,,,
صهو,ص,ه,و,ك,,م,,,,,,,,,
صوب,ص,و,ب,ك,ك,م,ل,,,,ل,م,,,
صوت,ص,و,ت,ك,ك,,ل,,,,,,,,
صوح,ص,و,ح,,ك,,ل,,,,ل,,,,
صوخ,ص,و,خ,ل,,,ل,,,,,,,,
صور,ص,و,ر,م,م,,ل,,,,ك,,,,
صوع,ص,و,ع,م,ك,,ل,,,,ل,,,,
صوغ,ص,و,غ,,,,ل,,,,,,,,
صوف,ص,و,ف,م,ك,,,,,,ل,,,,
صوق,ص,و,ق,,,,,,,,ل,,,,
صوك,ص,و,ك,,,,,,,,ل,,,,
صول,ص,و,ل,,م,ك,,,,ل,,,,,
صوم,ص,و,م,,م,,,ك,,,,ل,,,
صون,ص,و,ن,,,,,م,,ل,ل,,,,
صوي,ص,و,ي,ل,ك,,,,,,,,,,
صيأ,ص,ي,أ,,ك,,,,,,,,,,
صيب,ص,ي,ب,ل,,,,,,,,,,,
صيح,ص,ي,ح,,ك,ك,,,,ل,ل,,,,
صيد,ص,ي,د,م,,,,م,ل,,م,,,,
صير,ص,ي,ر,م,م,,ل,,,,م,,,,
صيص,ص,ي,ص,ل,ل,,,,,,,,,,
صيع,ص,ي,ع,م,,,ل,,,,ل,,,,
صيغ,ص,ي,غ,,م,,,,,,,,,,
صيف,ص,ي,ف,ك,ك,م,,ل,,,ك,,,,
صيك,ص,ي,ك,,,ك,,,,,,,,,
ضأد,ض,أ,د,م,,,,,,,,,,,
ضأل,ض,أ,ل,,,م,,ل,,ل,,,,,
ضأن,ض,أ,ن,ل,,,,,,,,,,,
ضبأ,ض,ب,أ,ك,,,,ل,,,,,,,
ضبب,ض,ب,ب,ك,ك,,,,,,ل,,,,
ضبث,ض,ب,ث,,,,,ل,,,,,,,
ضبح,ض,ب,ح,,,م,ل,,,ل,,,,,
ضبد,ض,ب,د,,م,,,,,,,,,,
ضبر,ض,ب,ر,ل,ك,,,,,,,,,,
ضبط,ض,ب,ط,م,,,ل,,,,ك,,,,
ضبع,ض,ب,ع,ل,ك,م,,ك,,,,ل,,,
ضبك,ض,ب,ك,,م,,,,,,,,,,ل
ضبن,ض,ب,ن,م,,,,م,,,,,,,
ضبو,ض,ب,و,ك,,,,,,,,,,,
ضجج,ض,ج,ج,ل,ك,م,,,,,,,,,
ضجر,ض,ج,ر,م,,,,,,,ل,,,,
ضجع,ض,ج,ع,ك,ل,ك,ل,ك,,ل,ل,,,,
ضجم,ض,ج,م,,,,,,,ك,,,,,
ضحك,ض,ح,ك,ك,م,م,,,,ل,ل,ل,,,
ضحو,ض,ح,و,ك,ك,ك,,ل,,,ل,ل,,,
ضخخ,ض,خ,خ,,,,ل,,,,,,,,
ضخم,ض,خ,م,,م,,,,,,ل,,,,
ضدد,ض,د,د,ك,,ك,,,,ل,,,,,
ضدي,ض,د,ي,ك,,م,,,,,,,,,
ضرأ,ض,ر,أ,,,,ل,,,,,,,,
ضرب,ض,ر,ب,ك,ك,ك,,ك,,ل,ل,ل,,,
ضرج,ض,ر,ج,م,ك,,ل,,,,ل,,,,
ضرح,ض,ر,ح,م,,م,ل,م,,,,,,,
ضرر,ض,ر,ر,ك,م,ك,,ك,,ل,ل,ل,,,
ضرس,ض,ر,س,م,م,ك,,,,ل,ل,,,,
ضرط,ض,ر,ط,ك,ك,,,,,,,,,,
ضرع,ض,ر,ع,ك,ك,ك,,,,ل,ل,ل,,,
ضرم,ض,ر,م,م,م,,,ل,,,ل,ك,,,
ضرو,ض,ر,و,ك,م,,,,,,,ك,,,
ضزز,ض,ز,ز,ك,,,,,,,,,,,
ضزن,ض,ز,ن,,,,,,,ل,,,,,
ضعف,ض,ع,ف,ك,م,م,,,,ل,م,م,,,
ضغث,ض,غ,ث,م,م,,,م,,,,,,,
ضغط,ض,غ,ط,م,,ك,ل,ل,,ل,,,,,
ضغغ,ض,غ,غ,ل,,,,ل,,,,,,,
ضغم,ض,غ,م,ل,,,,,,,,,,,
ضغن,ض,غ,ن,ك,,م,,ك,,ل,,,,,
ضغو,ض,غ,و,م,م,,,,,ل,,,,,
ضفد,ض,ف,د,,,,,,,,,,,,ل
ضفر,ض,ف,ر,,م,م,ل,,,ل,,,,,
ضفز,ض,ف,ز,,,م,,ك,,,,,,,
ضفط,ض,ف,ط,,,,,,,ل,,,,,
ضفف,ض,ف,ف,,,,,,,ل,,,,,
ضفن,ض,ف,ن,,,م,,ل,,ل,,,,,
ضفو,ض,ف,و,م,,,,,,,,,,,
ضلع,ض,ل,ع,ك,م,,,ك,,,ل,ل,,,
ضلل,ض,ل,ل,م,م,,,,,ل,ل,ل,,,
ضمج,ض,م,ج,ل,م,,,,,,,,,,
ضمخ,ض,م,خ,,م,,ل,,ل,,ل,,,,
ضمد,ض,م,د,ك,م,,,,,,ل,,,,
ضمر,ض,م,ر,ك,م,,ل,ل,,,ل,,,,
ضمز,ض,م,ز,,ك,,,,,,,,,,
ضمغ,ض,م,غ,ل,,,ل,,,,,,,,
ضمك,ض,م,ك,,,,,,,,,,,,ل
ضمم,ض,م,م,م,,م,ل,ك,,ل,,,,,
ضمن,ض,م,ن,م,ك,,,,,ل,م,,,,
ضنأ,ض,ن,أ,ل,,,,ل,,,,,,,
ضنط,ض,ن,ط,,,ل,ل,,,,,,,,
ضنك,ض,ن,ك,م,,,,,,,ل,,,,
ضنن,ض,ن,ن,,,,,ل,,,,,,,
ضنو,ض,ن,و,ك,,م,ل,ل,,,ل,,,,
ضهأ,ض,ه,أ,,,م,,,,,,,,,
ضهب,ض,ه,ب,,ك,م,,,,,,,,,
ضهج,ض,ه,ج,ل,,,,,,,,,,,
ضهد,ض,ه,د,ك,,,,م,,,,,,,
ضهل,ض,ه,ل,ك,,,,,,,ل,م,,,
ضهي,ض,ه,ي,ل,,م,,,,,,,,,
ضوأ,ض,و,أ,ك,ك,,,,,,ك,ل,,,
ضوج,ض,و,ج,,,,ل,,,,ل,,,,
ضوح,ض,و,ح,,م,,,,,,,,,,
ضور,ض,و,ر,,,,,,,,ل,ل,,,
ضوط,ض,و,ط,م,م,,,,,,ل,,,,
ضوع,ض,و,ع,,م,,ل,,,,ل,,,,
ضوك,ض,و,ك,,,,,ل,,,ل,,,,
ضوي,ض,و,ي,ك,,,ل,,,,,,,,
ضيأ,ض,ي,أ,,ل,,,,,,,,,,
ضيح,ض,ي,ح,,م,,,,,,ل,,,,
ضيع,ض,ي,ع,ك,م,,,,,,ل,,,,
ضيف,ض,ي,ف,ك,ك,,ل,,,ك,ك,ك,,,
ضيق,ض,ي,ق,ك,ك,م,,,,ل,ل,ل,,,
ضيل,ض,ي,ل,ل,,,,,,,,,,,
ضيم,ض,ي,م,,,,,,,,,م,,,
طبب,ط,ب,ب,,ك,م,,,,,ل,ك,,,
طبج,ط,ب,ج,,,,,,,,ل,,,,
طبخ,ط,ب,خ,,ك,,ل,ك,,,ل,,,,
طبع,ط,ب,ع,م,م,,ل,,,,ل,,,,
طبق,ط,ب,ق,ك,ك,ك,ل,,,ل,ل,,,,
طبل,ط,ب,ل,,ل,,,,,,,,,,
